customer_id,customer_segment,contract_type,region,tenure_months,monthly_revenue,support_tickets_last_90_days,late_payments_last_12_months,product_usage_score,satisfaction_score,last_login_days_ago,discount_percent,churn_probability,churned,annual_revenue,customer_lifetime_value,revenue_at_risk,usage_risk_flag,satisfaction_risk_flag,login_risk_flag,support_risk_flag,payment_risk_flag,total_risk_flags,risk_band
1,Consumer,Annual,Northeast,51,142.68,3,1,96.11,8,84,0,0.14,0,1712.16,7276.68,0,0,0,1,0,0,1,Low Risk
2,Consumer,Annual,West,41,25,3,2,81.56,7.9,53,10,0.14,0,300,1025,0,0,0,1,0,0,1,Low Risk
3,Small Business,Annual,West,52,303.65,2,1,40.44,6,30,0,0.18,0,3643.8,15789.8,0,1,0,0,0,0,1,Low Risk
4,Enterprise,Month to Month,Northeast,20,290.62,1,1,68.21,6.8,83,15,0.38,0,3487.44,5812.4,0,0,0,1,0,0,1,Moderate Risk
5,Mid Market,Annual,West,20,103.85,3,0,87.32,4.2,26,0,0.22999999999999998,0,1246.2,2077,0,0,1,0,0,0,1,Moderate Risk
6,Mid Market,Annual,West,29,262.36,1,1,39.37,10,5,0,0.24,0,3148.32,7608.44,0,1,0,0,0,0,1,Moderate Risk
7,Enterprise,Month to Month,West,64,130.96,0,0,96.68,8.7,7,5,0.2,0,1571.52,8381.44,0,0,0,0,0,0,0,Moderate Risk
8,Small Business,Annual,South,40,101.72,1,2,49.3,6,101,10,0.14,1,1220.64,4068.8,1220.64,0,0,1,0,0,1,Low Risk
9,Enterprise,Month to Month,Midwest,4,93.64,3,1,75.98,7.2,81,5,0.5,0,1123.68,374.56,0,0,0,1,0,0,1,High Risk
10,Enterprise,Month to Month,West,66,117.61,4,2,79.63,7.5,16,5,0.3,0,1411.32,7762.26,0,0,0,0,1,0,1,Moderate Risk
11,Mid Market,Month to Month,South,6,286.14,2,0,57.57,6.8,109,0,0.5,1,3433.68,1716.84,3433.68,0,0,1,0,0,1,High Risk
12,Enterprise,Two Year,Midwest,49,129.27,2,0,79.05,5.8,96,25,0.20999999999999996,0,1551.24,6334.23,0,0,1,1,0,0,2,Moderate Risk
13,Consumer,Annual,Midwest,12,48,3,2,100,7,53,5,0.2,1,576,576,576,0,0,1,0,0,1,Moderate Risk
14,Small Business,Month to Month,Midwest,27,275.55,2,0,70.74,5.6,5,25,0.41000000000000003,0,3306.6,7439.85,0,0,1,0,0,0,1,High Risk
15,Mid Market,Annual,South,5,289.42,1,2,85.96,6.6,120,5,0.32,0,3473.04,1447.1,0,0,0,1,0,0,1,Moderate Risk
16,Consumer,Annual,Northeast,71,161.75,0,3,64.17,10,21,5,0.1,0,1941,11484.25,0,0,0,0,0,1,1,Low Risk
17,Consumer,Month to Month,Northeast,48,178.53,2,4,93.79,7.3,8,0,0.28,0,2142.36,8569.44,0,0,0,0,0,1,1,Moderate Risk
18,Small Business,Month to Month,Midwest,57,90.51,2,0,74.56,6.4,49,15,0.32,0,1086.12,5159.07,0,0,0,1,0,0,1,Moderate Risk
19,Mid Market,Month to Month,West,50,196.91,0,0,63.94,8.5,32,0,0.2,0,2362.92,9845.5,0,0,0,0,0,0,0,Moderate Risk
20,Mid Market,Month to Month,South,62,214.04,3,3,54.71,6.5,79,10,0.4,0,2568.48,13270.48,0,0,0,1,0,1,2,High Risk
21,Consumer,Month to Month,Northeast,20,165.94,1,3,83.33,5.3,38,10,0.49,0,1991.28,3318.8,0,0,1,0,0,1,2,High Risk
22,Small Business,Two Year,West,28,262.37,2,2,71.93,4.9,57,0,0.26999999999999996,0,3148.44,7346.36,0,0,1,1,0,0,2,Moderate Risk
23,Consumer,Annual,South,55,374.31,4,0,90.31,6.6,83,5,0.24,0,4491.72,20587.05,0,0,0,1,1,0,2,Moderate Risk
24,Consumer,Annual,Midwest,30,317.01,3,0,63.21,2.5,92,0,0.35,0,3804.12,9510.3,0,0,1,1,0,0,2,Moderate Risk
25,Small Business,Annual,South,20,171.01,1,1,100,6.7,116,5,0.2,0,2052.12,3420.2,0,0,0,1,0,0,1,Moderate Risk
26,Mid Market,Two Year,Midwest,70,251.52,4,0,39.37,4.8,84,5,0.47000000000000003,0,3018.24,17606.4,0,1,1,1,1,0,4,High Risk
27,Mid Market,Month to Month,West,36,110.95,1,0,97.18,8.2,99,0,0.38,1,1331.4,3994.2,1331.4,0,0,1,0,0,1,Moderate Risk
28,Consumer,Month to Month,Northeast,24,158.95,4,1,82.19,6.4,105,20,0.48,1,1907.4,3814.8,1907.4,0,0,1,1,0,2,High Risk
29,Mid Market,Annual,Midwest,4,171.07,3,2,72.37,9.7,103,0,0.32,0,2052.84,684.28,0,0,0,1,0,0,1,Moderate Risk
30,Enterprise,Month to Month,West,11,184.46,1,4,59.1,4.4,47,10,0.73,1,2213.52,2029.06,2213.52,0,1,1,0,1,3,Critical Risk
31,Enterprise,Month to Month,South,20,127.7,1,0,75.8,7.8,0,10,0.26,0,1532.4,2554,0,0,0,0,0,0,0,Moderate Risk
32,Enterprise,Month to Month,West,71,228.94,3,2,85.2,7.7,12,0,0.2,0,2747.28,16254.74,0,0,0,0,0,0,0,Moderate Risk
33,Mid Market,Month to Month,West,42,231.86,3,3,13.02,8.6,72,15,0.56,1,2782.32,9738.12,2782.32,1,0,1,0,1,3,High Risk
34,Enterprise,Annual,Northeast,57,180.11,2,1,76.62,5.8,30,10,0.16999999999999998,0,2161.32,10266.27,0,0,1,0,0,0,1,Low Risk
35,Small Business,Annual,South,48,146.34,2,1,62.89,4,40,0,0.16999999999999998,0,1756.08,7024.32,0,0,1,0,0,0,1,Low Risk
36,Enterprise,Annual,South,54,168.46,1,2,69.31,7.7,11,5,0.020000000000000004,0,2021.52,9096.84,0,0,0,0,0,0,0,Low Risk
37,Small Business,Month to Month,Midwest,38,250.72,1,2,48.5,8,13,0,0.2,0,3008.64,9527.36,0,0,0,0,0,0,0,Moderate Risk
38,Small Business,Annual,South,3,187.59,4,1,67.39,7,45,5,0.30000000000000004,0,2251.08,562.77,0,0,0,0,1,0,1,Moderate Risk
39,Consumer,Month to Month,South,39,201.56,1,2,85.83,7.8,30,10,0.2,0,2418.72,7860.84,0,0,0,0,0,0,0,Moderate Risk
40,Mid Market,Annual,Northeast,70,41.8,0,1,80.6,6,33,0,0.020000000000000004,0,501.6,2926,0,0,0,0,0,0,0,Low Risk
41,Mid Market,Two Year,Midwest,35,231.62,2,0,77.06,5.8,91,10,0.26999999999999996,0,2779.44,8106.7,0,0,1,1,0,0,2,Moderate Risk
42,Mid Market,Month to Month,South,65,116.49,1,0,70.8,4.6,41,0,0.35000000000000003,0,1397.88,7571.85,0,0,1,0,0,0,1,Moderate Risk
43,Small Business,Month to Month,Northeast,42,165.36,3,1,66.33,4.8,56,5,0.47000000000000003,0,1984.32,6945.12,0,0,1,1,0,0,2,High Risk
44,Consumer,Month to Month,Northeast,36,242.19,5,1,92.4,7.5,115,0,0.48,0,2906.28,8718.84,0,0,0,1,1,0,2,High Risk
45,Mid Market,Month to Month,West,44,225.73,2,0,73.01,6.3,108,10,0.32,0,2708.76,9932.12,0,0,0,1,0,0,1,Moderate Risk
46,Consumer,Annual,South,7,240.05,4,2,60.82,5.6,53,0,0.5700000000000001,1,2880.6,1680.35,2880.6,0,1,1,1,0,3,High Risk
47,Consumer,Month to Month,Midwest,61,165.65,3,0,58.2,4.7,103,0,0.47000000000000003,0,1987.8,10104.65,0,0,1,1,0,0,2,High Risk
48,Mid Market,Annual,South,29,214.92,0,2,85.19,8.9,41,10,0.08,1,2579.04,6232.68,2579.04,0,0,0,0,0,0,Low Risk
49,Consumer,Two Year,West,67,134.72,1,0,79.85,5.9,30,0,0.08999999999999997,0,1616.64,9026.24,0,0,1,0,0,0,1,Low Risk
50,Mid Market,Month to Month,Northeast,31,116.61,2,0,76.63,5.7,97,20,0.53,1,1399.32,3614.91,1399.32,0,1,1,0,0,2,High Risk
51,Small Business,Annual,West,69,171.72,3,2,53.75,7.4,37,0,0.020000000000000004,0,2060.64,11848.68,0,0,0,0,0,0,0,Low Risk
52,Small Business,Month to Month,West,70,258.71,2,2,57.77,6.9,85,0,0.32,0,3104.52,18109.7,0,0,0,1,0,0,1,Moderate Risk
53,Mid Market,Month to Month,Midwest,12,209.45,4,0,63.61,4.4,35,0,0.51,0,2513.4,2513.4,0,0,1,0,1,0,2,High Risk
