applicant_id,age,annual_income,credit_score,loan_amount,employment_length_years,existing_debt,number_of_open_accounts,missed_payments_last_12_months,credit_utilization,loan_purpose,home_ownership,debt_to_income_ratio,loan_to_income_ratio,credit_score_band,income_band,default_probability,defaulted,loan_value_at_risk,dti_risk_flag,utilization_risk_flag,missed_payment_risk_flag,low_credit_score_flag,high_loan_to_income_flag,total_risk_flags,risk_band,approval_recommendation
1,69,86009.47,698,22784.26,20,24240.31,12,0,0.173,Debt Consolidation,Rent,0.282,0.265,Good,75K to 120K,0.049999999999999996,0,0,0,0,0,0,0,0,Low Risk,Approve
2,57,58702.76,693,52119.9,2,7564.57,11,2,0.435,Medical,Mortgage,0.129,0.888,Good,40K to 75K,0.30000000000000004,1,52119.9,0,0,1,0,1,2,High Risk,High Risk Review
3,21,85534.33,815,27898.28,8,23381.84,2,0,0.399,Debt Consolidation,Mortgage,0.273,0.326,Excellent,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
4,45,102334.07,607,48119.94,29,27826.73,10,1,0.588,Home Improvement,Rent,0.272,0.47,Fair,75K to 120K,0.29000000000000004,0,0,0,0,0,1,1,2,Moderate Risk,Manual Underwriting Review
5,30,74124.02,700,16319.78,27,15124.97,13,1,0.39,Small Business,Rent,0.204,0.22,Good,40K to 75K,0.12000000000000002,0,0,0,0,0,0,0,0,Low Risk,Approve
6,56,132486.06,820,10741.2,24,23383.02,11,1,0.441,Home Improvement,Rent,0.176,0.081,Excellent,120K Plus,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
7,38,123175.19,707,34604.46,25,23443.38,16,1,0.613,Home Improvement,Rent,0.19,0.281,Good,120K Plus,0.049999999999999996,0,0,0,0,0,0,0,0,Low Risk,Approve
8,69,18000,663,35051.55,13,8658.53,5,1,0.172,Home Improvement,Mortgage,0.481,1.947,Fair,Under 40K,0.38000000000000006,0,0,1,0,0,1,1,3,High Risk,High Risk Review
9,67,130686.21,655,29594.23,19,15476.05,11,1,0.788,Auto,Own,0.118,0.226,Fair,120K Plus,0.23000000000000007,0,0,0,1,0,1,0,2,Moderate Risk,Approve with Review
10,44,111429.11,728,29466.65,0,8525.86,13,2,0.434,Auto,Rent,0.077,0.264,Good,75K to 120K,0.33,0,0,0,0,1,0,0,1,High Risk,High Risk Review
11,27,117935.75,780,24669.88,1,40576.06,2,3,0.218,Personal,Rent,0.344,0.209,Very Good,75K to 120K,0.25,1,24669.88,0,0,1,0,0,1,Moderate Risk,Approve with Review
12,56,96916.78,698,8782.98,12,0,5,0,0.462,Debt Consolidation,Mortgage,0,0.091,Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
13,45,69250.98,760,9749.22,21,5318.21,18,0,0.406,Small Business,Own,0.077,0.141,Very Good,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
14,57,97065.18,701,12874.49,15,31374.92,4,0,0.443,Home Improvement,Rent,0.323,0.133,Good,75K to 120K,0.049999999999999996,0,0,0,0,0,0,0,0,Low Risk,Approve
15,66,51110.37,697,39001.14,29,0,16,3,0,Auto,Rent,0,0.763,Good,40K to 75K,0.31000000000000005,0,0,0,0,1,0,1,2,High Risk,High Risk Review
16,40,148955.13,538,14166.18,30,14699.07,2,1,0.136,Debt Consolidation,Rent,0.099,0.095,Poor,120K Plus,0.33,0,0,0,0,0,1,0,1,High Risk,High Risk Review
17,46,56368.6,623,31544.52,15,8718.59,15,0,0,Personal,Own,0.155,0.56,Fair,40K to 75K,0.21000000000000002,0,0,0,0,0,1,1,2,Moderate Risk,Manual Underwriting Review
18,70,31110.5,612,27998.35,24,7290.85,16,1,0.89,Debt Consolidation,Rent,0.234,0.9,Fair,Under 40K,0.41000000000000003,1,27998.35,0,1,0,1,1,3,High Risk,High Risk Review
19,67,102561.01,630,18794.11,26,31890.04,1,2,0.169,Debt Consolidation,Rent,0.311,0.183,Fair,75K to 120K,0.35000000000000003,0,0,0,0,1,1,0,2,High Risk,High Risk Review
20,23,96163.97,544,36526.73,8,3483.36,11,0,0.474,Medical,Mortgage,0.036,0.38,Poor,75K to 120K,0.32,0,0,0,0,0,1,0,1,High Risk,High Risk Review
21,61,64457.12,642,1000,15,0,9,1,0.641,Home Improvement,Own,0,0.016,Fair,40K to 75K,0.11000000000000001,0,0,0,0,0,1,0,1,Low Risk,Approve
22,45,55718.13,744,47745.71,22,16292.86,11,2,0.217,Debt Consolidation,Mortgage,0.292,0.857,Very Good,40K to 75K,0.18000000000000002,0,0,0,0,1,0,1,2,Moderate Risk,Manual Underwriting Review
23,47,106804.4,668,35479.8,3,17245.15,2,0,0.496,Medical,Mortgage,0.161,0.332,Fair,75K to 120K,0.18000000000000002,0,0,0,0,0,1,0,1,Moderate Risk,Manual Underwriting Review
24,56,100584,589,20352.37,18,0,9,1,0.171,Debt Consolidation,Rent,0,0.202,Fair,75K to 120K,0.19000000000000003,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
25,57,48206.99,745,30094.78,12,53569.35,11,1,0.322,Debt Consolidation,Mortgage,1.111,0.624,Very Good,40K to 75K,0.16,1,30094.78,1,0,0,0,1,2,Moderate Risk,Manual Underwriting Review
26,51,84327.76,632,39841.07,18,44778.36,2,0,0.148,Home Improvement,Rent,0.531,0.472,Fair,75K to 120K,0.43000000000000005,1,39841.07,1,0,0,1,1,3,High Risk,High Risk Review
27,65,99481.3,737,7517.96,6,14722.35,9,1,0.188,Medical,Rent,0.148,0.076,Good,75K to 120K,0.09,0,0,0,0,0,0,0,0,Low Risk,Approve
28,25,34247.56,631,26632.03,26,17482.31,15,1,0.397,Personal,Mortgage,0.51,0.778,Fair,Under 40K,0.38000000000000006,0,0,1,0,0,1,1,3,High Risk,High Risk Review
29,40,105469.51,692,26558.32,5,8989.64,14,1,0,Debt Consolidation,Mortgage,0.085,0.252,Good,75K to 120K,0.04,0,0,0,0,0,0,0,0,Low Risk,Approve
30,54,152182.35,718,16774.53,14,0,4,1,0.513,Personal,Rent,0,0.11,Good,120K Plus,0.049999999999999996,0,0,0,0,0,0,0,0,Low Risk,Approve
31,48,23965.26,746,34122.06,16,10926.45,7,0,0.521,Home Improvement,Mortgage,0.456,1.424,Very Good,Under 40K,0.16,0,0,1,0,0,0,1,2,Moderate Risk,Manual Underwriting Review
32,60,76646.01,692,1000,7,20549.98,11,1,0.715,Personal,Mortgage,0.268,0.013,Good,75K to 120K,0.16,0,0,0,1,0,0,0,1,Moderate Risk,Approve with Review
33,23,68337.46,601,31466.25,2,24889.73,17,2,0.398,Personal,Rent,0.364,0.46,Fair,40K to 75K,0.49000000000000005,1,31466.25,0,0,1,1,1,3,High Risk,High Risk Review
34,53,65295.39,730,18808.49,3,0,6,0,0.608,Debt Consolidation,Rent,0,0.288,Good,40K to 75K,0.09,0,0,0,0,0,0,0,0,Low Risk,Approve
35,62,72423.81,637,18845.66,16,19072.19,16,0,0.419,Medical,Rent,0.263,0.26,Fair,40K to 75K,0.19000000000000003,1,18845.66,0,0,0,1,0,1,Moderate Risk,Approve with Review
36,44,73674.39,681,1000,21,20883.7,6,0,0.079,Auto,Own,0.283,0.014,Good,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
37,50,174609.45,684,4939.17,16,19462,7,0,0.486,Debt Consolidation,Mortgage,0.111,0.028,Good,120K Plus,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
38,63,107951.69,777,60179.18,5,9136.43,14,0,0.078,Debt Consolidation,Mortgage,0.085,0.557,Very Good,75K to 120K,0.06000000000000001,0,0,0,0,0,0,1,1,Low Risk,Approve
39,35,68052.05,693,27651.96,18,3007.41,16,3,0.45,Auto,Rent,0.044,0.406,Good,40K to 75K,0.31000000000000005,0,0,0,0,1,0,1,2,High Risk,High Risk Review
40,42,65123.72,800,1587.4,4,16734.08,2,0,0.187,Small Business,Rent,0.257,0.024,Excellent,40K to 75K,0.08000000000000003,0,0,0,0,0,0,0,0,Low Risk,Approve
41,28,119720.1,674,30987.32,8,33073.5,10,2,0.404,Auto,Rent,0.276,0.259,Good,75K to 120K,0.25,0,0,0,0,1,0,0,1,Moderate Risk,Manual Underwriting Review
42,56,57067.85,691,1000,10,32338.66,1,1,0.687,Debt Consolidation,Rent,0.567,0.018,Good,40K to 75K,0.19000000000000003,1,1000,1,0,0,0,0,1,Moderate Risk,Approve with Review
43,24,67486.72,582,13298.81,16,0,4,0,0.048,Debt Consolidation,Mortgage,0,0.197,Fair,40K to 75K,0.14,0,0,0,0,0,1,0,1,Low Risk,Approve
44,42,44804.46,684,20467.11,12,0,9,1,0.711,Small Business,Mortgage,0,0.457,Good,40K to 75K,0.29000000000000004,1,20467.11,0,1,0,0,1,2,Moderate Risk,Approve with Review
45,38,137298,599,19542.79,12,1241.01,3,0,0.264,Debt Consolidation,Own,0.009,0.142,Fair,120K Plus,0.11000000000000001,0,0,0,0,0,1,0,1,Low Risk,Approve
46,65,80476.13,776,34015.7,10,35459.88,17,0,0.508,Home Improvement,Rent,0.441,0.423,Very Good,75K to 120K,0.07,1,34015.7,0,0,0,0,1,1,Low Risk,Approve
47,48,87307.24,662,12128.47,12,2022.46,4,1,0.427,Debt Consolidation,Mortgage,0.023,0.139,Fair,75K to 120K,0.14,0,0,0,0,0,1,0,1,Low Risk,Approve
48,25,77718.46,653,22296.4,25,35905.49,4,2,0.33,Debt Consolidation,Rent,0.462,0.287,Fair,75K to 120K,0.49000000000000016,0,0,1,0,1,1,0,3,High Risk,High Risk Review
49,24,98760.77,667,19290.62,29,0,1,0,0.48,Medical,Mortgage,0,0.195,Fair,75K to 120K,0.14,0,0,0,0,0,1,0,1,Low Risk,Approve
50,54,77853.89,639,25983.98,14,9266.04,11,0,0.565,Home Improvement,Rent,0.119,0.334,Fair,75K to 120K,0.19000000000000003,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
51,70,84326.72,668,29949.75,6,14876.98,3,1,0.389,Auto,Mortgage,0.176,0.355,Fair,75K to 120K,0.18000000000000002,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
52,55,41579.64,675,31359.04,11,46548.52,8,1,0.279,Personal,Mortgage,1.12,0.754,Good,40K to 75K,0.24000000000000002,1,31359.04,1,0,0,0,1,2,Moderate Risk,Manual Underwriting Review
53,44,67362.97,666,17248.69,5,35113.81,8,0,0.666,Debt Consolidation,Mortgage,0.521,0.256,Fair,40K to 75K,0.32000000000000006,1,17248.69,1,0,0,1,0,2,High Risk,High Risk Review
54,43,84751.58,683,8233.82,16,19945.44,2,0,0.353,Debt Consolidation,Mortgage,0.235,0.097,Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
55,69,77535.95,574,27006.51,12,11725.13,14,0,0.975,Medical,Mortgage,0.151,0.348,Poor,75K to 120K,0.4,1,27006.51,0,1,0,1,0,2,High Risk,High Risk Review
56,46,55055.35,702,23831.03,28,11576.78,3,1,0.367,Debt Consolidation,Rent,0.21,0.433,Good,40K to 75K,0.15,0,0,0,0,0,0,1,1,Moderate Risk,Approve with Review
57,70,48069.36,715,14091.3,9,0,6,0,0.673,Auto,Rent,0,0.293,Good,40K to 75K,0.09,0,0,0,0,0,0,0,0,Low Risk,Approve
58,26,107715.59,690,40999.84,30,14430.52,17,0,0.105,Auto,Rent,0.134,0.381,Good,75K to 120K,0.049999999999999996,0,0,0,0,0,0,0,0,Low Risk,Approve
59,26,127859.04,708,32749.52,13,16455.07,4,1,0.308,Home Improvement,Own,0.129,0.256,Good,120K Plus,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
60,22,75498.51,595,12364.84,12,36266.14,8,1,0.509,Auto,Rent,0.48,0.164,Fair,75K to 120K,0.33000000000000007,0,0,1,0,0,1,0,2,High Risk,High Risk Review
61,72,149037.73,651,6182.79,20,10478.09,7,1,0.218,Small Business,Rent,0.07,0.041,Fair,120K Plus,0.26,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
62,23,87428.32,679,44577.12,10,0,10,1,0.37,Auto,Mortgage,0,0.51,Good,75K to 120K,0.1,1,44577.12,0,0,0,0,1,1,Low Risk,Approve
63,41,104432.7,595,18944.15,7,26959.56,4,0,0,Home Improvement,Mortgage,0.258,0.181,Fair,75K to 120K,0.18000000000000002,1,18944.15,0,0,0,1,0,1,Moderate Risk,Approve with Review
64,22,28487.74,610,26776,7,33697.22,6,2,0.595,Debt Consolidation,Rent,1.183,0.94,Fair,Under 40K,0.6300000000000001,0,0,1,0,1,1,1,4,Critical Risk,Decline or Require Strong Mitigation
65,58,139007.53,699,37968.47,13,1214.47,2,2,0.739,Debt Consolidation,Rent,0.009,0.273,Good,120K Plus,0.33,0,0,0,1,1,0,0,2,High Risk,High Risk Review
66,30,80503.56,651,16239.81,17,11520.72,2,0,0.29,Small Business,Mortgage,0.143,0.202,Fair,75K to 120K,0.21,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
67,60,54738.87,651,36359.28,15,7107.83,12,0,0,Debt Consolidation,Mortgage,0.13,0.664,Fair,40K to 75K,0.24000000000000002,0,0,0,0,0,1,1,2,Moderate Risk,Manual Underwriting Review
68,25,65863,802,9826.98,11,25517.83,4,1,0.431,Auto,Mortgage,0.387,0.149,Excellent,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
69,53,105980.03,732,26199.28,9,26117.03,1,1,0.3,Personal,Mortgage,0.246,0.247,Good,75K to 120K,0.04,0,0,0,0,0,0,0,0,Low Risk,Approve
70,69,60656.72,794,17056.04,12,21640.75,11,1,0,Medical,Own,0.357,0.281,Very Good,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
71,59,18000,580,1000,11,26695.41,13,2,0.398,Debt Consolidation,Mortgage,1.483,0.056,Fair,Under 40K,0.4400000000000001,0,0,1,0,1,1,0,3,High Risk,High Risk Review
72,56,88384.76,740,26910.56,4,8549.16,7,0,0.144,Auto,Mortgage,0.097,0.304,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
73,65,56900.35,640,29048.26,6,31266.58,12,0,0.385,Home Improvement,Rent,0.549,0.511,Fair,40K to 75K,0.47000000000000003,0,0,1,0,0,1,1,3,High Risk,High Risk Review
74,62,105453.51,691,33167.32,2,0,17,1,0.314,Small Business,Mortgage,0,0.315,Good,75K to 120K,0.11000000000000001,0,0,0,0,0,0,0,0,Low Risk,Approve
75,29,124667.07,654,38855.3,30,29508.93,4,0,0.486,Debt Consolidation,Rent,0.237,0.312,Fair,120K Plus,0.19000000000000003,0,0,0,0,0,1,0,1,Moderate Risk,Manual Underwriting Review
76,49,56205.52,567,20820.65,2,3355.91,12,0,0.597,Small Business,Mortgage,0.06,0.37,Poor,40K to 75K,0.39,0,0,0,0,0,1,0,1,High Risk,High Risk Review
77,32,80961.01,635,18782.84,22,27261.08,9,1,0.688,Auto,Own,0.337,0.232,Fair,75K to 120K,0.11000000000000001,0,0,0,0,0,1,0,1,Low Risk,Approve
78,40,126670.04,621,35744.26,15,8721.94,4,2,0.379,Debt Consolidation,Rent,0.069,0.282,Fair,120K Plus,0.35000000000000003,0,0,0,0,1,1,0,2,High Risk,High Risk Review
79,29,95663.94,830,5200.53,27,24538.6,13,1,0.164,Home Improvement,Mortgage,0.257,0.054,Excellent,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
80,63,64929.93,634,14781.9,9,46946.55,5,0,0.645,Debt Consolidation,Mortgage,0.723,0.228,Fair,40K to 75K,0.32000000000000006,1,14781.9,1,0,0,1,0,2,High Risk,High Risk Review
81,55,140185.24,740,22881.63,11,43278.5,1,0,0.954,Debt Consolidation,Mortgage,0.309,0.163,Very Good,120K Plus,0.04,0,0,0,1,0,0,0,1,Low Risk,Approve
