feature,No,Yes,MeanDecreaseAccuracy,Overall
lab_risk_score,4.850615752840564,1.463692932360041,5.095680628364611,584.7890565382686
social_risk_score,3.073704759603455,-0.7859128983014187,1.8430107445658939,580.3995535149629
medication_adherence_score,4.269497872719644,0.5982294697178496,3.3871139362450244,578.8888436671829
age,0.7694921242362043,1.3808448328493712,1.6594532002152946,527.5762508281489
length_of_stay_days,2.729552641037092,1.4298095278367564,3.132577246618807,442.7823604729725
number_of_medications,2.1670195118481397,-0.9066781272671351,1.1745083187242424,431.1250442120368
department,0.7483886504608882,0.492992612039012,0.8084190768423285,411.7017604506837
primary_diagnosis,5.576923923090479,3.8152186276599886,6.806592910740235,409.71030349409205
total_risk_flags,17.78061515529298,10.895196070014592,22.415737472156838,356.0205080880636
number_of_chronic_conditions,4.471876284220155,2.7884000565719096,6.073468689000338,315.2924500709528
discharge_disposition,1.755363326111845,3.3320079432345366,3.652891884298258,257.65919063776295
previous_admissions_12_months,4.45332207405705,4.374150852977476,6.363042955552666,234.74858095697786
emergency_visits_6_months,3.2107190173392373,3.341346977868471,4.549923404491307,200.1275549563633
gender,-2.1119291821226973,-0.5011368342133612,-1.6673446807922945,92.82545868510066
follow_up_scheduled,4.7253703815571315,1.9925666863587193,4.708912970246803,83.9281300841388
